video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
yJYTtkaVdtw,Kohram Intro - Dhanda Nyoliwala,Dhanda Nyoliwala,UCdvPL04EnHCT3zaVFb3xydQ,2025-07-29T17:15:07Z,1,5,0.0,10,Music,681387,82146,5644,12.055704027226819,0.8283104902206823,IN,808000
zxalbzxCBf8,WTF! - Avatar: Fire & Ash Trailer breakdown,ComicVerse,UCKQ5Jj35sjTmJigRtlCPhVQ,2025-07-29T05:10:22Z,2,8,-0.8034,24,Entertainment,373223,19320,529,5.1765298494465775,0.14173831730627534,IN,1470000
r0yC_ny_kZA,Choo Choo Charles Ne Aaj Sach Mein Dara Diya 😱 | LIVE Horror Gameplay | Kumar Gaming,Kumar Gaming ,UC3KAE02WDbs_nTVtO0qYIcQ,2025-07-31T05:09:29Z,0,17,-0.8591,20,Gaming,732641,2755,0,0.3760368311355766,0.0,IN,248000
09m-lsJya2Q,Saiyaara Kishore Kumar FULL SONG|  |@rjkisnashorts | Anshuman Sharma | Old version saiyaara,Anshuman Sharma,UC8S2qJKtr-LTpdmpQMI0c-Q,2025-07-30T10:30:07Z,1,13,0.0,10,Music,221130,8815,633,3.986342875231764,0.2862569529236196,IN,268000
gtzvGX22l10,Vikram Thakor | ભોળા નો ભગવાન વિક્રમ ઠાકોર | Trailer New Film 2025 | Bansri Films,Bansari Films,UCeRbGxXxWNeaxGhOWPzUVeg,2025-07-28T13:30:38Z,2,16,0.0,10,Music,197865,10181,579,5.145427437899578,0.29262375862330375,IN,125000
zyGgAiHHq5o,ITACHI ASCENSION EVENT FREE FIRE IN TAMIL | ITACHI TOKEN TOWER EVENT FREE FIRE TAMIL | ITACHI EVENT,HIT TAMIZHA GAMING,UCQJzxSvHKxZvK-zbosTIYHQ,2025-07-30T09:04:31Z,1,18,0.4215,20,Gaming,136300,11758,990,8.626559060895083,0.7263389581804842,IN,909000
zSZ88NyzUEs,DIVINE - Aag | Prod. by Abhijay Sharma | Official Music Video,DIVINE,UCFX8go5jeQ_9_Pk9WFl5tmA,2025-07-29T06:30:07Z,2,12,0.6523,10,Music,936255,86951,4776,9.287106610912625,0.5101174359549482,IN,7600000
o70iGN_sYNQ,Rudra Garuda Purana (Hindi) | Official Trailer | Rishi - Priyanka Kumar | Thriller | Ultra Play OTT,Ultra Play,UCyap4EIe1bVXK49VrWFgBeA,2025-07-24T06:30:20Z,7,18,0.4215,24,Entertainment,133814,1127,42,0.8422138191818495,0.031386850404292524,IN,80500
6alGb-FEhr0,From BIrth to Death as A Labubu Doll in Minecraft..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,2025-07-29T09:44:33Z,2,10,-0.5994,20,Gaming,1017980,24389,489,2.3958231006503077,0.04803630719660504,IN,2790000
SBfjg2VDqXw,Raat Ke Shikari (Full Video) Masoom Sharma | Sweta Chauhan | Yash | New Haryanvi Song 2025 | Sonotek,Sonotek Music,UCFQ9AY7oyEqRS7iVXJLNSmw,2025-07-28T06:46:33Z,3,19,0.0,10,Music,853513,17627,471,2.065229234938425,0.055183693745730886,IN,10900000
